Film (American),Year,Subgrenre,Notes
Night of the Comet,1984,Zombie Plague,"The rain leaves the Earth clean, born anew, leaving the viewer with an image of a flourishing humanity"
The Terminator,1984,Technological Advancement,Explores the dangers of AI
Land of Doom,1986,Post-Atomic War,The conflict of the world will never end
Cherry 2000,1987,Technological Advancement,Explores what it means to be human
Steel Dawn,1987,Post-Atomic War,Hopeful rebirth of humanity
Prince of Darkness,1987,Revelation,Features a physics and time-travel-based version of Satan and the Anti-Christ
Hell Homes to Frogtown,1988,Post-Atomic War,This film features sex in a very prominent light and maintains a strong cult following
Miracle Mile,1988,Atomic War,Offers a commentary on the fleetingness of life
The Seventh Sign,1988,Revelation,Emphasizes the need to give oneself to Christ
The Blood of Heroes,1989,Post-Atomic War,Criticizes emerging aristocracies
Cyborg,1989,Biological Plague,"Comparisons to Christ - the protagonist is crucified, but returns to deliver the cure"
Millenium,1989,Environmental Destruction,This film ends with a Winston Churchill quote signifying the work that must sitll be done to save humanity (and the environment)
By Dawn's Early Light,1990,Atomic War,One of the last WWIII-themed films of the Cold War
Circuitry Man,1990,Environmental Destruction,Bears strong resemblances to Blade Runner
The Handmaid's Tale,1990,Environmental Destruction,"Unknown, uncertain future"
Hardware,1990,Technological Advancement,"The government's villainous robots, the M.A.R.K. 13s, are inspired by Mark 13:20: ""No flesh shall be spared"""
Solar Crisis,1990,Natural Disaster,Bears strong resemblances to that later films of Deep Impact and Armageddon
The Rapture,1991,Rapture,"Is a simple depiction of the final judgment, with a socially conservative view of Christianity"
Terminator 2: Judgment Day,1991,Technological Advancement,Explores the dangers of AI and the value of human life
Split Second,1992,Environmental Destruction,"Combines film noir with an otherworldly evil creature and leaves the world with an unknown, uncertain futures"
In the Mouth of Madness,1994,Psychological Plague,This very Lovecraftian horror is a trip; I actually watched this one and it features strange monsters and psychological thrills; contains some condemnation of consumerism
12 Monkeys,1995,Biological Plague,12 Monkeys mocks environmental destruction and also features an unreliable perspective from the psychologically damaged protagonist
Judge Dredd,1995,Technological Advancement,Has political overtones and a commentary on the American judicial system
The Prophecy,1995,Revelation,Comments on the nature of faith and what it means to be human
Sentinel 2099,1995,Biological Plague,Comments on the hope for the future of humanity; also shoehorns in an alien villain in a similar manner to Invasion of the Body Snatchers
Tank Girl,1995,Natural Disaster,Has strong antiestablishment themes and is considered to be a true feminist cult-film
Waterworld,1995,Environmental Destruction,"Directly criticizes Exxon and their largest spill, the Exxon Valdez"
The Arrival,1996,Aliens,Features environmental destruction as well as alien invasion
Escape from L.A.,1996,Technological Advancement,"Harsh criticism of American relations with other countries, particularly third-world countries; sequel to Escape from New York"
Independence Day,1996,Aliens,Has nationalistic overtones and is fairly obviously racist and sexist
Future Fear,1997,Aliens,The true villain is actually a group of Neo-Nazis
Armageddon,1998,Natural Disaster,Hopeful rebirth of humanity
Deep Impact,1998,Natural Disaster,"Hopeful rebirth of humanity; Was a direct competitor to Armageddon, as they both feature the same plot and resolution"
The Prophecy II,1998,Revelation,"Comments on the nature of faith and what it means to be human, using a half-human half-angel to explore humanity"
Six-String Samurai,1998,Post-Atomic War,Is a battle between good and an irreligious Death; pays homage to a variety of musical movements of the US
Dogma,1999,Revelation,Emphasizes the need to give oneself to Christ; Jay and Silent Bob provide comedic relief
End Days,1999,Revelation,Emphasizes the need to give oneself to Christ
The Matrix,1999,Technological Advancement,"This cyberpunk classic draws heavily from religion, with Neo's rebirth serving as one of the largest Christianity-inspired moments; also comments on our heavily commericalized developed society"
The Omega Code,1999,Revelation,Emphasizes the need to give oneself to Christ
The Prophecy 3: The Ascent,2000,Revelation,Third installment in this exploration of faith and humanity
Terminator 3: Rise of the Machines,2003,Technological Advancement,Explores the dangers of AI
The Prophecy: Uprising,2005,Revelation,Fourth installment in the Prophecy series; this one forebodes a final fight to come before leading to Armageddon
The Prophecy: Forsaken,2005,Revelation,"Final installment in the Prophecy series; concludes in a balance between in the defeat of the evil angels, and a balance in the world between heaven and hell"
Terminator Salvation,2009,Technological Advancement,Explores the dangers of AI and nuclear warfare
Terminator Genisys,2015,Technological Advancement,"Is a reboot of Terminator, exploring the same dangers of AI and featuring a more involved time-travel theory"
Shaun of the Dead,2004,Zombie Plague,"Serves as a satirical apocalyptic movie, with heavy references to films such as ""Dawn of the Dead"""
Southland Tales,2006,Technological Advancement,Was altered post-9/11 to address the issues of civil liberty vs homeland security
The Time Machine,2002,Post-Atomic War,Presents a dreary look at the helplessness of the human condition
Titan A.E.,2000,Technological Advancement,"While technology causes the destruction of Earth in this film, it is also the conduit through which humanity will be reborn"
WALL-E,2008,Technological Advancement,"Though an animated Pixar film, WALL-E has criticisms of consumerism, major corporations, and human environmental impact"
War of the Worlds,2005,Aliens,"Bears resemblance to Independence Day, with additional inspiration drawn from post-9-11 attack hysteria and human behavior"
Watchmen,2009,Atomic War,"The comic series this is based on was written while the Cold War was still in full swing; as such, this film plays upon those fears and explores the cost of peace"
Zombieland,2009,Zombie Plague,"Zombieland explores human identity and what makes us human in the most comedic of ways; there's a sequel scheduled for October 11, 2019!"
Reign of Fire,2002,Dragons,Ends with humanity picking up the pieces and rebuilding civilization
Resident Evil,2002,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation
Resident Evil: Apocalypse,2004,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation
Resident Evil: Extinction,2007,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation; explores what is means to be human through the discovery of human cloning
Resident Evil: Afterlife,2010,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation; explores what it means to be human through the memories of the protagonist Alice
Resident Evil: Retribution,2012,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation
Resident Evil: The Final Chapter,2016,Zombie Plague,Refreshes the zombie genre with a strong anti-corporate message through the disturbing activities of the Umbrella corporation; ends with the hopeful rebirth of humanity
The Road,2009,Post-Atomic War,Condems humanity for its arrogance and misuse of the Earth's natural resources
Right at Your Door,2006,Atomic War,Depicts the government as one of the people's most dangerous enemies and criticizes the media's need to cover news even at the cost of misinformation
Planet Terror,2007,Zombie Plague,This is the most absurdist rehash of old 70s-style B movies with a healthy serving of gore and a strong undercurrent of female empowerment
Pandorum,2009,Psychological Plague,This Lovecraftian horror features psychosis and a lingering hope for the rebirth of humanity
Megiddo: The Omega Code 2,2001,Revelation,"As a half-prequel, half-sequel to the 1999 Omega Code, this film continues to emphasize the need to give oneself to Christ in the most overt manner"
